theta_hid_log[2], theta_out_log[1]
0.615932, -0.319034, 1.61499
0.615927, -0.319126, 1.6159
0.615922, -0.319217, 1.61681
0.615917, -0.319309, 1.61772
0.615912, -0.3194, 1.61862
0.615907, -0.319491, 1.61953
0.615902, -0.319582, 1.62043
0.615897, -0.319672, 1.62133
0.615891, -0.319763, 1.62222
0.615886, -0.319854, 1.62312
0.61588, -0.319944, 1.62401
0.615875, -0.320034, 1.62491
0.615869, -0.320124, 1.6258
0.615863, -0.320214, 1.62669
0.615857, -0.320304, 1.62757
0.615851, -0.320394, 1.62846
0.615845, -0.320484, 1.62934
0.615838, -0.320573, 1.63022
0.615832, -0.320663, 1.6311
0.615826, -0.320752, 1.63198
0.615819, -0.320841, 1.63286
0.615812, -0.32093, 1.63373
0.615806, -0.321019, 1.63461
0.615799, -0.321108, 1.63548
0.615792, -0.321196, 1.63635
0.615785, -0.321285, 1.63722
0.615778, -0.321373, 1.63808
0.615771, -0.321462, 1.63895
0.615763, -0.32155, 1.63981
0.615756, -0.321638, 1.64067
0.615749, -0.321726, 1.64153
0.615741, -0.321814, 1.64239
0.615733, -0.321901, 1.64325
0.615726, -0.321989, 1.6441
0.615718, -0.322076, 1.64495
0.61571, -0.322164, 1.64581
0.615702, -0.322251, 1.64666
0.615694, -0.322338, 1.6475
0.615686, -0.322425, 1.64835
0.615678, -0.322512, 1.6492
0.615669, -0.322599, 1.65004
0.615661, -0.322685, 1.65088
0.615652, -0.322772, 1.65172
0.615644, -0.322858, 1.65256
0.615635, -0.322945, 1.6534
0.615627, -0.323031, 1.65423
0.615618, -0.323117, 1.65507
0.615609, -0.323203, 1.6559
0.6156, -0.323289, 1.65673
0.615591, -0.323375, 1.65756
0.615582, -0.32346, 1.65839
0.615573, -0.323546, 1.65921
0.615563, -0.323631, 1.66004
0.615554, -0.323717, 1.66086
0.615545, -0.323802, 1.66168
0.615535, -0.323887, 1.6625
0.615526, -0.323972, 1.66332
0.615516, -0.324057, 1.66414
0.615506, -0.324141, 1.66495
0.615496, -0.324226, 1.66577
0.615487, -0.324311, 1.66658
0.615477, -0.324395, 1.66739
0.615467, -0.324479, 1.6682
0.615456, -0.324563, 1.66901
0.615446, -0.324648, 1.66981
0.615436, -0.324732, 1.67062
0.615426, -0.324815, 1.67142
0.615415, -0.324899, 1.67222
0.615405, -0.324983, 1.67303
0.615395, -0.325066, 1.67382
0.615384, -0.32515, 1.67462
0.615373, -0.325233, 1.67542
0.615363, -0.325316, 1.67621
0.615352, -0.3254, 1.67701
0.615341, -0.325483, 1.6778
0.61533, -0.325565, 1.67859
0.615319, -0.325648, 1.67938
0.615308, -0.325731, 1.68017
0.615297, -0.325814, 1.68095
0.615286, -0.325896, 1.68174
0.615274, -0.325978, 1.68252
0.615263, -0.326061, 1.6833
0.615252, -0.326143, 1.68408
0.61524, -0.326225, 1.68486
0.615229, -0.326307, 1.68564
0.615217, -0.326389, 1.68642
0.615206, -0.326471, 1.68719
0.615194, -0.326552, 1.68797
0.615182, -0.326634, 1.68874
0.61517, -0.326715, 1.68951
0.615159, -0.326797, 1.69028
0.615147, -0.326878, 1.69105
0.615135, -0.326959, 1.69182
0.615123, -0.32704, 1.69258
0.61511, -0.327121, 1.69335
0.615098, -0.327202, 1.69411
0.615086, -0.327283, 1.69487
0.615074, -0.327364, 1.69563
0.615061, -0.327444, 1.69639
